id,country,year,life_expectancy,country_name
2079443,GMB,2015,64.14439,Gambia
2105060,AGO,2015,61.71907,Angola
2107247,DZA,2010,75.85488,Algeria
2111974,COD,2010,57.50722,Congo - Kinshasa
2118182,GMB,2000,59.24446,Gambia
2126904,LBR,2019,64.07872,Liberia
2131831,SUR,2015,72.60451,Suriname
2132089,ALB,2010,76.24688,Albania
2137248,COD,2000,52.44439,Congo - Kinshasa
2149444,ETH,2000,50.57764,Ethiopia
2156777,NIC,2019,75.03769,Nicaragua
2164210,CUB,2015,77.91375,Cuba
2165527,CIV,2010,56.61696,Côte d’Ivoire
2177264,GNB,2000,50.28384,Guinea-Bissau
2189221,BRB,2019,76.0344,Barbados
2189669,SSD,2010,61.09674,South Sudan
2203271,KHM,2019,70.12289,Cambodia
2212058,KAZ,2015,71.90915,Kazakhstan
2224864,YEM,2019,66.63147,Yemen
2239260,AUS,2019,83.04064,Australia
2242367,NPL,2019,70.88377,Nepal
2254734,GAB,2000,58.09779,Gabon
2265090,LAO,2019,68.51331,Laos
2281758,JPN,2019,84.26138,Japan
2290489,COL,2010,77.09467,Colombia
2296931,LKA,2010,73.30135,Sri Lanka
2299928,MUS,2019,74.07175,Mauritius
2300242,BHS,2019,73.21226,Bahamas
2301369,COM,2019,67.3913,Comoros
2303538,LVA,2000,70.17654,Latvia
2315458,BEL,2010,79.84602,Belgium
2323770,IRQ,2000,68.77211,Iraq
2325272,BEL,2015,80.71184,Belgium
2326364,QAT,2010,74.07913,Qatar
2331017,TUR,2010,76.893,Turkey
2334126,GRD,2019,72.88402,Grenada
2342239,DEU,2010,80.16794,Germany
2343055,ISR,2019,82.62151,Israel
2358393,SSD,2019,62.79444,South Sudan
2373064,MNG,2019,68.09768,Mongolia
2377901,KAZ,2000,63.14555,Kazakhstan
2388775,BGR,2010,73.64205,Bulgaria
2399081,RWA,2015,67.68883,Rwanda
2415180,KGZ,2019,74.18089,Kyrgyzstan
2446477,ISL,2000,79.70157,Iceland
2455647,HTI,2010,31.2792,Haiti
2479414,SGP,2019,83.22195,Singapore
2479504,BFA,2010,58.59142,Burkina Faso
2479864,FJI,2015,67.82661,Fiji
2483764,TUR,2000,74.41146,Turkey
2486777,SGP,2000,78.43803,Singapore
2508044,MDG,2000,58.82296,Madagascar
2520935,MRT,2000,61.96471,Mauritania
2532743,ZMB,2010,56.67128,Zambia
2548065,HRV,2019,78.63747,Croatia
2560941,MMR,2019,69.1335,Myanmar (Burma)
2562957,CHN,2010,74.88925,China
2568101,NLD,2019,81.79341,Netherlands
2589646,HTI,2019,64.05315,Haiti
2604845,BLR,2000,68.84592,Belarus
2628867,SVN,2019,81.30905,Slovenia
2636936,COG,2000,52.11573,Congo - Brazzaville
2655057,SVK,2019,78.23097,Slovakia
2657150,NGA,2015,61.15609,Nigeria
2676400,JOR,2000,72.64991,Jordan
2677496,URY,2000,74.81694,Uruguay
